# Nadsat glossary for Casper — source: https://thischickreads.com/nadsat-language-glossary/
# headword\tdefinition (UTF-8, Latin-only)
headword	definition
britva	Razor |  | Origin: From the Russian britva. This word has a sharp, violent edge to it-literally and figuratively.
brooko	Belly |  | Origin: From the Russian brjuxo. This term has a guttural, physical feel to it, mirroring the visceral nature of its meaning.
bugatties	Riches |  | Origin: From the Russian bogatyj, meaning "rich." It's a playful, slightly decadent word that ties wealth to opulence and excess.
bugatty	Rich |  | Origin: A simpler take on "bugatties," directly describing wealth.
cables	Blood vessels, tendons, or veins |  | Origin: This word creates a vivid, almost mechanical image of the human body, turning veins into something industrial and cold, like the wires inside a machine.
cal	Crap |  | Origin: Taken from the Russian kal, meaning feces, this term is both literal and figurative.
cancer	Cigarette |  | Origin: Short for the English slang "cancer stick."
cantora	Office |  | Origin: Borrowed from the Russian kontora, meaning "office," this term has a bureaucratic, almost oppressive feel.
carman	Pocket |  | Origin: From the Russian karman, meaning "pocket." A straightforward borrowing, this term becomes significant in the gang's thieving exploits.
chai	Tea |  | Origin: Borrowed from the Russian čaj and common in many languages, this word isn't exclusively Nadsat.
charles	Chaplain |  | Origin: This playful term draws on the name "Charlie Chaplin."
charlie	Chaplain |  | Origin: This playful term draws on the name "Charlie Chaplin."
chasha	Cup |  | Origin: From the Russian čaška or čaša, meaning "large bowl." It's a mundane term but ties into the everyday objects that populate Alex's world.
chasso	Guard |  | Origin: Derived from the Russian časovoj, meaning "sentry" or "watchman." The hard "ch" sound gives it an authoritative, no-nonsense feel, perfectly fitting for the guards and authority figures in Alex's life.
cheena	Woman |  | Origin: Borrowed from the Russian ženščina, meaning "woman." The term has an edge of objectification, reflecting Alex's often dismissive and predatory attitude toward women.
cheest	To wash |  | Origin: From the Russian čistitʹ, meaning "to clean."
chelloveck	Person, man, fellow |  | Origin: Taken from the Russian čelovek, meaning "human" or "man." This is one of Nadsat's most iconic words.
chellovecks	Person, man, fellow |  | Origin: Taken from the Russian čelovek, meaning "human" or "man." This is one of Nadsat's most iconic words.
chepooka	Nonsense |  | Origin: From the Russian čepuxa, meaning "nonsense" or "rubbish." It's a dismissive term, often used by Alex to brush off things he finds irrelevant or irritating.
choodessny	Wonderful |  | Origin: Borrowed from the Russian čudesnyj. The whimsical sound of the word contrasts with its meaning, capturing the dark humor of Nadsat, where even beauty and wonder are tinged with strangeness.
chumble	To mumble |  | Origin: A blend of "chatter" and "mumble," this term is one of Burgess's English-based inventions.
cine	Cinema or film |  | Origin: Borrowed from French slang "ciné.".
clockwork	Mechanically responsive |  | Origin: A key term in the novel, this word symbolizes the central theme of free will versus control. To be "clockwork" is to function as a machine, responding to programming rather than choice.
clop	To knock |  | Origin: From the Russian xlopatʹ, meaning "to clap," or the German "klopfen," meaning "to knock." The word has a sharp, percussive quality that evokes the sound it describes.
cluve	Beak |  | Origin: Taken from the Russian kljuv, meaning "beak." It's an evocative term that adds a touch of animalistic imagery to descriptions of people and their features.
collocoll	Bell |  | Origin: From the Russian kolokol. This word has a resonant, almost musical quality, fitting for a term tied to sound and tradition.
crast	Steal, rob, robbery |  | Origin: Borrowed from the Russian krastʹ, meaning "to steal." This word is central to the gang's activities, emphasizing the criminal undertone of Nadsat without moralizing it.
creech	To shout, scream |  | Origin: From the Russian kričatʹ, meaning "to shout." The harsh consonants give the word a piercing, jarring quality, reflecting the chaos of violent scenes in the novel.
cutter	Money |  | Origin: From Cockney rhyming slang derived from "bread-and-butter."
dama	Lady |  | Origin: Borrowed from the Russian dama, this term has a formal, slightly old-fashioned air to it, reminiscent of "Dame" in English.
decrep	Elder |  | Origin: Shortened from "decrepit," this term is a blunt and irreverent way to refer to the elderly.
ded	Old man |  | Origin: Derived from the Russian ded or deduška, meaning "grandfather."
dedoochka	Old man |  | Origin: Derived from the Russian ded or deduška, meaning "grandfather."
deng	Money |  | Origin: Taken from the Russian denʹgi, meaning "money," this term is a vital part of Alex's slang, as material gain often motivates the droogs' actions.
devotchka	Young woman |  | Origin: Borrowed from the Russian devočka, meaning "girl," this term is one of the more iconic words in Nadsat. It highlights Alex's objectifying view of women while maintaining a playful, almost sing-song quality.
devotchkas	Young woman |  | Origin: Borrowed from the Russian devočka, meaning "girl," this term is one of the more iconic words in Nadsat. It highlights Alex's objectifying view of women while maintaining a playful, almost sing-song quality.
dobby	Good |  | Origin: From the Russian dobryj, meaning "kind" or "good." This term is the opposite of the more common "baddiwad," though it's used sparingly in Alex's largely violent world.
domy	House |  | Origin: Derived from the Russian dom, meaning "house," this term is straightforward and practical, fitting seamlessly into Alex's slang.
dook	Trace or ghost |  | Origin: This fascinating term comes from the Russian dux, meaning "spirit," and the Romani "dook," meaning "magic."
dorogoy	Dear, valuable, or expensive |  | Origin: Taken from the Russian dorogoj, this word can mean "precious" in both a monetary and emotional sense.
dratsing	Fighting |  | Origin: From the Russian dratʹsja, meaning "to fight." The term feels chaotic and unrefined, perfectly capturing the raw violence of the droogs' skirmishes.
drencrom	Drug |  | Origin: Likely a play on "adrenochrome," this term is a fictional invention by Burgess, tied to the mind-altering substances consumed by Alex and his friends.
droog	Friend |  | Origin: Straight from the Russian droog.
droogie	Friendly |  | Origin: From the Russian druželjubno, meaning "friendly." Also used as a diminutive version of "droog" adding warmth, though in Alex's world, it's often used with an ironic or mocking tone.
droogs	Friend |  | Origin: Straight from the Russian droog.
dung	To defecate |  | Origin: This term feels earthy and unrefined, reflecting the crude, unfiltered nature of Alex's language.
dva	Two |  | Origin: Straight from the Russian dva, meaning "two." It's one of the few Nadsat words that functions purely as a practical numeral, grounding the language in basic utility while maintaining its cultural roots.
eegra	Game |  | Origin: Borrowed from the Russian igra, meaning "game," this term encapsulates both the literal sense of play and the more sinister games Alex and his droogs engage in.
eemya	Name |  | Origin: From the Russian imja.
eggiweg	Egg |  | Origin: This juvenile twist on "egg" is one of Nadsat's most innocent and playful words.
em	Mother |  | Origin: Derived from the first letter of "mother."
espresso rapido	Train |  | Origin: Italian for "fast express," this phrase captures the sleek, efficient feel of a modern train.
eunuch jelly	Gutless Coward |  | Origin: An insult, this term combines the emasculating idea of a eunuch with the formless, spineless quality of jelly.
fag	Tire, Exhaust |  | Origin: A term borrowed from English slang, "fag" in Nadsat conveys tiredness or exhaustion, likely stemming from the way people often say they feel "fagged out." While not exclusive to Nadsat, its inclusion reflects the way Burgess blends colloquial English into Alex's world.
fagged	Tired, Exhausted |  | Origin: This variation adds a descriptive flair to the base term, intensifying the sense of weariness.
faggy	Tired, Exhausted |  | Origin: This variation adds a descriptive flair to the base term, intensifying the sense of weariness.
fashed	Bothered, Annoyed, Tired |  | Origin: From the Scots term "fash," meaning "annoyed" or "irritated," this word brings a regional touch to Nadsat.
filly	To Play or Fool Around With |  | Origin: A diminutive of "fiddle," this term has playful, mischievous undertones.
filmdrome	Cinema |  | Origin: Combining "film" with the Greek drómos, meaning "course" or "place," this term gives a grand, almost futuristic feel to the simple concept of a cinema.
firegold	Strong Drink |  | Origin: Possibly derived from the phrase "firewater," this evocative term captures the burning sensation and intensity of alcohol.
fist	To Punch |  | Origin: Straightforward and primal, this term comes from the English word "fist."
forella	Trout, Old Lady |  | Origin: Borrowed from the Russian forelʹ and German "Forelle," this term cleverly plays on the image of an old lady as slippery or wrinkled, much like a trout.
gazetta	Newspaper |  | Origin: Borrowed from the Russian gazeta and related to the English "gazette," this term is a straightforward reference to printed news.
glazz	Eye, Eyes (also refers to nipples) |  | Origin: Derived from the Russian glaz, meaning "eye," these terms are versatile in Nadsat. They serve not just as anatomical references but also as a window into Alex's voyeuristic tendencies and his fixation on sensory experiences.
glazzballs	Eye, Eyes (also refers to nipples) |  | Origin: Derived from the Russian glaz, meaning "eye," these terms are versatile in Nadsat. They serve not just as anatomical references but also as a window into Alex's voyeuristic tendencies and his fixation on sensory experiences.
glazzies	Eye, Eyes (also refers to nipples) |  | Origin: Derived from the Russian glaz, meaning "eye," these terms are versatile in Nadsat. They serve not just as anatomical references but also as a window into Alex's voyeuristic tendencies and his fixation on sensory experiences.
gloopy	Stupid |  | Origin: From the Russian glupyj, meaning "stupid," this term is one of the more derogatory Nadsat words.
glory	Hair |  | Origin: A poetic and almost biblical term for hair, this word elevates a mundane feature to something grander. Alex's use of "glory" reflects his flair for dramatizing even the simplest aspects of life.
godman	Priest, Chaplain |  | Origin: This term combines "God" with "man" to refer to clergy.
golly	Unit of Money |  | Origin: A playful term for money, likely derived from rhyming slang for "lolly" or "polly." It reflects the lighthearted, almost whimsical attitude Alex has toward material wealth, treating it as another part of the game.
goloss	Voice/Tone |  | Origin: From the Russian golos, meaning "voice," this term is central to the theme of expression and identity in A Clockwork Orange.
goober	Lip |  | Origin: Borrowed from the Russian guba, meaning "lip," this term has a casual, almost dismissive feel.
gooly	To Walk |  | Origin: Derived from the Russian guljatʹ, meaning "to stroll" or "walk," this term conveys a sense of casual movement. For Alex and his droogs, "gooling" often leads to mischief, giving the word a sinister undertone.
gorlo	Throat |  | Origin: From the Russian gorlo, meaning "throat," this word is used both literally and figuratively. In violent contexts, it often carries a threatening edge.
govoreet	Speak |  | Origin: From the Russian govoritʹ, meaning "to speak," this term emphasizes the act of verbal expression.
grahzny	Dirty |  | Origin: Taken from the Russian grjaznyj, meaning "dirty," this term is often used as an insult.
grape	Uvula |  | Origin: A rare and specific anatomical reference in Nadsat, this term is tied to the peculiar, sometimes grotesque descriptions Burgess employs to depict Alex's world.
grazzy	Soiled |  | Origin: From the Russian grjazʹ, meaning "dirt," and grjaznyj, meaning "dirty," this variation adds a childlike twist to the idea of filth, making it sound both playful and dismissive.
gromky	Loud |  | Origin: Derived from the Russian gromkij, meaning "loud," this term mirrors the noisy, chaotic world Alex inhabits.
groody	Breast |  | Origin: From the Russian grudʹ, meaning "breast," and its plural grudi.
gruppa	Group |  | Origin: Borrowed from the Russian gruppa, this term refers to collective units, whether it's Alex's gang or another group.
guff	Laugh |  | Origin: Derived from "guffaw," this term captures the sound of laughter, often used in a mocking or derisive context. It reflects the dark humor that permeates Alex's world.
guffaw	Laugh |  | Origin: Derived from "guffaw," this term captures the sound of laughter, often used in a mocking or derisive context. It reflects the dark humor that permeates Alex's world.
gulliver	Head |  | Origin: A playful twist on the Russian golova.
gullivers	Head |  | Origin: A playful twist on the Russian golova.
guttiwuts	Guts |  | Origin: A term drawn from children's speech, "guttiwuts" adds a juvenile, almost innocent tone to a grisly concept.
hen-korm	Chickenfeed |  | Origin: This term combines the English "hen" with the Russian korm, meaning "feed." It's a vivid way of describing something insignificant or of little value, much like chickenfeed itself.
horn	To Cry Out |  | Origin: A term that evokes the sharp, attention-grabbing sound of a horn, this word is both literal and metaphorical in Nadsat.
horrorshow	Good, Well, Wonderful, Excellent |  | Origin: Derived and then anglicized from the Russian khorosho, meaning "well" or "good," this term is one of the most iconic in Nadsat.
hound-and-horny	Corny |  | Origin: A piece of rhyming slang, this term takes something simple like "corny" and gives it a cheeky, playful twist.
in-out in-out	Sexual Intercourse |  | Origin: This phrase is as blunt and unapologetic as Alex himself.
interessovat	To Interest |  | Origin: From the Russian interesovatʹ, meaning "to interest." This term feels slightly formal compared to much of Nadsat.
itty	To Go |  | Origin: Borrowed from the Russian idti, meaning "to go," but also anglicised to match some of the more playful, childish words that are found in Nadsat.
jammiwam	Jam |  | Origin: A playful, childlike mutation of the word "jam,jammiwam" reflects the way language evolves to suit a younger, more irreverent audience. It has a singsong quality that makes it feel whimsical and spontaneous, suggesting how slang often grows from a place of joy or mischief in youth culture.
jeezny	Life |  | Origin: Adapted the Russian žiznʹ, meaning "life,".
juice	Tears |  | Origin: A stark and visceral term, "juice" strips the act of crying down to its physical components.
kartoffel	Potatoes |  | Origin: From the Russian kartofelʹ and the German "Kartoffel," this term highlights how languages borrow and adapt from one another.
kashl	Cough |  | Origin: Taken from the Russian kašelʹ, meaning "cough," this word feels onomatopoeic, mimicking the sharp, rasping sound of a real cough.
keeshkas	Guts |  | Origin: Derived from the Russian kiška, meaning "gut," this term has a raw, visceral quality.
kisa	Girl |  | Origin: From the Russian kisa, literally "kitty," this term carries a playful and affectionate tone.
kleb	Bread |  | Origin: Borrowed from the Russian xleb, meaning "bread."
klootch	Key |  | Origin: From the Russian ključ, meaning "key," this term is simple and utilitarian.
knives	Drugs |  | Origin: This sharp, metaphorical use of "knives" to mean drugs likely stems from the cutting edge or dangerous nature of substances. It reflects the creative repurposing of language in Nadsat, where even innocuous words take on darker meanings.
knopka	Button |  | Origin: From the Russian knopka, meaning "button."
knopkavat	Buttoning |  | Origin: Formed from knopka with the verb-forming suffix "-" (-ovatʹ), this word highlights the dynamic, evolving nature of Nadsat.
kopat	To "Dig" (Appreciate) |  | Origin: From the Russian kopatʹ, meaning "to dig," this slang term has a dual meaning: literal and figurative.
korova	Cow |  | Origin: Borrowed from the Russian korova, this term takes on a slightly eerie edge in the context of the novel, especially as the name of the Korova Milkbar.
koshka	Cat, Tomcat |  | Origin: From the Russian koška for "cat" and kot for "tomcat," these terms bring a touch of domestic familiarity to Nadsat.
koshtoom	Clothing |  | Origin: From the Russian kostjum, meaning "suit," this term covers all clothing in Nadsat. It reflects the gang's flashy, curated sense of style, where clothes are an extension of identity and rebellion.
kot	Cat, Tomcat |  | Origin: From the Russian koška for "cat" and kot for "tomcat," these terms bring a touch of domestic familiarity to Nadsat.
krovvy	Blood |  | Origin: Borrowed from the Russian krovʹ, meaning "blood," this term is one of the most iconic and visceral in Nadsat.
kupet	To Buy |  | Origin: From the Russian kupitʹ, meaning "to buy."
lapa	Paw |  | Origin: From the Russian lapa, meaning "paw," this term carries a playful and animalistic tone.
lewdies	People |  | Origin: Borrowed from the Russian ljudi, meaning "people," this term adds a casual, slightly irreverent tone to the idea of humanity.
lighter	Old Woman, Crone |  | Origin: Derived from the Russian then anglicized leta, which literally means "summers" and is used to denote age
litso	Face |  | Origin: From the Russian lico, meaning "face," this term is direct and unadorned.
lomtick	Piece, Bit |  | Origin: Borrowed from the Russian lomtik, meaning "slice," this word feels practical and compact.
loveted	Caught |  | Origin: Derived from the Russian lovitʹ, meaning "to catch," this term conveys a sense of finality and inevitability.
lubbilubbing	Making Love |  | Origin: From the Russian ljubitʹ, meaning "to love," and ljublju, meaning "(I) love," this playful and singsong term brings a childlike innocence to something inherently intimate.
luna	Moon |  | Origin: From the Russian luna, this term retains its poetic, almost mystical quality.
luscious glory	Hair |  | Origin: A rhyming slang term, possibly derived from "crowning glory."
malchick	Boy |  | Origin: From the Russian malʹčik, meaning "boy," this term is simple and direct. It emphasizes youth, making it a key part of the Nadsat lexicon, where much of the slang revolves around the teenage experience.
malenky	Little, Tiny |  | Origin: Derived from the Russian malenʹkij, this term adds a diminutive, almost endearing quality to descriptions.
maskie	Mask |  | Origin: Borrowed from the Russian maska, meaning "mask,"
maslo	Butter |  | Origin: From the Russian maslo, meaning "butter," this term is one of the more mundane entries in the lexicon, grounding Nadsat in everyday items while retaining its linguistic flavor.
merzky	Filthy |  | Origin: Derived from the Russian merzkij, meaning "vile" or "disgusting," this term is harsh and evocative, perfectly suited to the darker, grimier aspects of Alex's world.
messel	Thought, Fancy |  | Origin: From the Russian myslʹ, meaning "thought," this term conveys intellectual or imaginative processes.
mesto	Place |  | Origin: Taken from the Russian mesto, meaning "place"
mewler	To Mew |  | Origin: A term imitating the sound of a mewing cat, this word has an onomatopoeic charm.
millicents	Police |  | Origin: From the Russian milicioner, meaning "militsiya officer," this term ties directly to law enforcement in Alex's dystopian world.
minoota	Minute |  | Origin: Borrowed from the Russian minuta, meaning "minute," this term is a straightforward and practical addition to Nadsat, used for describing time and quite similar to it's English equivalent working as a bit of a linguistic bridge to the reader.
molodoy	Young |  | Origin: From the Russian molodoj, meaning "young."
moloko	Milk |  | Origin: Taken from the Russian moloko, meaning "milk," this word gains significant weight in A Clockwork Orange.
moloko plus	Milk Laced with Drugs |  | Origin: An extension of "moloko," this term reflects the dystopian blending of the mundane with the illicit. It symbolizes the perverse normalization of drug use in Alex's society.
moodge	Man |  | Origin: Derived from the Russian muž, meaning "husband" or "man."
morder	Snout |  | Origin: From the Russian morda, meaning "snout," this term has an animalistic, dehumanizing edge, often used to describe faces in a dismissive or mocking way.
mounch	Snack |  | Origin: Taken from "munch," this term is a playful nod to casual eating.
mozg	Brain |  | Origin: From the Russian mozg, meaning "brain," this term is direct and functional. It underscores the importance of intellect and thought.
munchy-wunching	Munching |  | Origin: A juvenile mutation of "munching," this term is whimsical and singsong.
nachinat	To Begin |  | Origin: From the Russian načinatʹ, meaning "to begin," this term is an action-oriented word that fits seamlessly into Nadsat's rhythm.
nadmenny	Arrogant |  | Origin: Taken from the Russian nadmennyj, meaning "arrogant,"
nadsat	Teenage slang; the invented argot spoken by Alex and his droogs. |  | Fictional language written by Anthony Burgess for the novel A Clockwork Orange (mostly Russian-influenced English slang, with Cockney, Romani, and playful coinages).
nagoy	Naked |  | Origin: Borrowed from the Russian nagoj, meaning "nude,"
nazz	Fool |  | Origin: From the Russian nazad, meaning "backward," this term is a clever insult, implying stupidity or regressive behavior. I
neezhnies	Underpants |  | Origin: Derived from the Russian nižneje, meaning "lower," this term has a playful tone, reducing an intimate item of clothing to something casual and humorous.
nochy	Night/Nocturnal |  | Origin: From the Russian nočʹ, meaning "night," and nočnoj, meaning "nocturnal," this term reflects the dark, shadowy world Alex often inhabits.
nogas	Feet, Legs (Also Used for Cars) |  | Origin: From the Russian noga, meaning "foot" or "leg," this term is both practical and humorous, extending to describe the "legs" of cars in a playful twist.
nozh	Knife |  | Origin: Taken from the Russian nož, meaning "knife," this term carries a sharp, dangerous edge, fitting for the violence that permeates Alex's world.
nuking	Smelling |  | Origin: From the Russian njuxatʹ, meaning "to smell," this term captures the physicality of sniffing or detecting a scent.
oddy knocky	On One's Own |  | Origin: From the Russian odinokij, meaning "lonesome," this term has a rhythmic, almost lyrical quality that softens its melancholic meaning.
odin	One |  | Origin: From the Russian odin, meaning "one," this term is a simple but essential part of Nadsat's numerals.
okno	Window |  | Origin: Borrowed from the Russian okno, this term is direct and functional, used to describe a commonplace object.
oobivat	To Kill |  | Origin: From the Russian ubivatʹ, meaning "to kill," this term is chilling in its bluntness. It encapsulates the stark, casual attitude toward violence in Alex's world.
ookadeet	To Leave |  | Origin: Derived from the Russian uxoditʹ, meaning "to leave," this term reflects the fluid movement and transient nature of life in Nadsat culture.
ooko	Ear |  | Origin: Taken from the Russian uxo, meaning "ear," this term is a straightforward anatomical reference, adding to the physicality of Nadsat's descriptive vocabulary.
oomny	Brainy |  | Origin: From the Russian umnyj, meaning "clever" or "smart," this term conveys intelligence or wit.
oozhassny	Terrible |  | Origin: Derived from the Russian užasnyj, meaning "terrible," this term has an exaggerated, almost theatrical quality, fitting for dramatic expressions of fear or disgust.
oozy	Chain |  | Origin: From the archaic Russian uzy, meaning "shackles," this term carries a weighty, oppressive connotation. It evokes imagery of confinement or restriction, making it a powerful word in Nadsat's lexicon.
orange	Man, Person |  | Origin: Borrowed from the Malay "orang," meaning "man," this term is a rare non-European borrowing in Nadsat. It adds an exotic, philosophical layer to the language, tying into the novel's title and its exploration of humanity.
osoosh	To Wipe |  | Origin: From the Russian osušatʹ, meaning "to dry," this term is functional and utilitarian.
otchkies	Eyeglasses |  | Origin: From the Russian očki, meaning "glasses," this term has a playful, diminutive sound, making it feel more casual and less clinical than its English counterpart.
pan-handle	Erection |  | Origin: A cheeky and irreverent term, "pan-handle" captures the playful, metaphorical style of Nadsat.
pantalonies	Pants, Underwear |  | Origin: A whimsical mutation of "pantaloons," this term has a lighthearted, almost theatrical air.
pee and em	Father and Mother |  | Origin: A playful shorthand for "pa and ma" or "pater and mater," this term highlights the informal, irreverent attitude Nadsat speakers often have toward traditional family structures.
peet	To Drink |  | Origin: From the Russian pitʹ, meaning "to drink," this term is practical and straightforward, reflecting a common activity in the life of the droogs.
pishcha	Food |  | Origin: Taken from the Russian pišča, meaning "food," this term is another grounding element of Nadsat, tying it to basic, universal needs.
platch	To Cry |  | Origin: From the Russian plač, meaning "crying," this term is simple but evocative, capturing the raw emotion associated with tears.
platties	Clothes |  | Origin: From the Russian platʹje, meaning "dress," this term expands to cover all clothing in Nadsat.
plenny	Prisoner |  | Origin: From the Russian plennyj, meaning "captive," this term carries a sense of entrapment and loss of freedom, resonating strongly in the dystopian context of A Clockwork Orange.
plesk	Splash |  | Origin: From the Russian plesk, this term is onomatopoeic, mimicking the sound of splashing.
pletcho	Shoulder |  | Origin: Borrowed from the Russian plečo, meaning "shoulder," this term is functional and physical, emphasizing the corporeal focus of much of Nadsat.
plosh	To Splash |  | Origin: An onomatopoeic term, "plosh" captures the sound and action of water splashing.
plott	Body |  | Origin: From the Russian plotʹ, meaning "flesh," this term is visceral and physical, emphasizing the tangible, human aspects of existence in Nadsat.
podooshka	Pillow |  | Origin: From the Russian poduška, meaning "pillow," this term adds a touch of comfort and softness to the otherwise hard-edged Nadsat vocabulary.
poison	Person |  | Origin: A phonetic twist on "person," often spoken in a Cockney accent, this term is playful and slightly sardonic, reflecting the irreverence of Nadsat slang.
pol	Sex |  | Origin: From the Russian pol, meaning "gender," this term is straightforward and utilitarian, emphasizing biological distinctions.
polezny	Useful |  | Origin: Taken from the Russian poleznyj, meaning "useful," this term reflects the practical, no-frills side of Nadsat.
polly	Money |  | Origin: From rhyming slang for "lolly," this term is casual and lighthearted, emphasizing the irreverence with which Nadsat treats material wealth.
polyclef	Skeleton Key |  | Origin: Combining the French "clef" (key) and the Greek prefix "poly-" (many), this term is elegant and functional, reflecting Nadsat's inventive blending of languages.
pony	To Understand |  | Origin: From the Russian ponimatʹ, meaning "to understand," this term is a crucial part of Nadsat, emphasizing comprehension and connection.
poogly	Frightened |  | Origin: Derived from the Russian ispugannyj, meaning "frightened," this term captures fear in a playful, almost childlike way, softening its intensity.
pooshka	Gun |  | Origin: From the Russian puška, meaning "cannon," this term is bold and direct, fitting for the violence inherent in Nadsat.
pop-disc	A Record, Pop Album |  | Origin: A playful nod to music culture, this term reflects the influence of contemporary pop culture on Nadsat slang.
prestoopnik	Criminal |  | Origin: From the Russian prestupnik, meaning "criminal," this term adds a formal, slightly foreboding tone to descriptions of wrongdoers.
pretty polly	Money |  | Origin: A rhyming slang term for "lolly," this playful expression reinforces the casual, almost flippant way material wealth is discussed in Nadsat.
privodeet	To Lead Somewhere |  | Origin: From the Russian privoditʹ, meaning "to lead," this term is straightforward and functional, reflecting the dynamic, action-oriented side of Nadsat.
prod	To Produce |  | Origin: A clipped and practical term, "prod" is an example of Nadsat's efficiency and tendency to reduce words to their essential sounds.
ptitsa	Girl |  | Origin: From the Russian ptica, meaning "bird," this term draws on the metaphor of birds for women, similar to "chick" in English.
ptitsas	Girl |  | Origin: From the Russian ptica, meaning "bird," this term draws on the metaphor of birds for women, similar to "chick" in English.
punchipunching	Punching |  | Origin: A juvenile mutation of "punching," this term is singsong and playful, highlighting the youthful creativity in Nadsat's slang.
purplewurple	Purple, Bruised |  | Origin: A whimsical mutation of "purple," this term brings a sense of humor to descriptions of bruising, softening the imagery of injury.
pyahnitsa	Drunk |  | Origin: From the Russian pʹjanica, meaning "drunkard," this term is blunt and descriptive, capturing the unvarnished state of inebriation.
rabbit	Work |  | Origin: From the Russian rabota, meaning "work," this term is a straightforward reference to labor or effort. It is another example of transposing a Russian word into an English word that seems to have some degree of vague semantic connection doe a rabbit work hard?
rabbiter	Worker |  | Origin: Derived from the Russian rabotnik, meaning "worker,"
radosty	Joy |  | Origin: From the Russian radostʹ, meaning "joy," this term captures a fleeting, almost ethereal quality.
raskazz	Story |  | Origin: From the Russian rasskaz, meaning "story" or "tale."
rassoodock	Mind |  | Origin: Derived from the Russian rassudok, meaning "reason" or "mind".
raz	Time |  | Origin: From the Russian raz, meaning "time" in the sense of "once" or "instance," this term is functional and succinct, fitting seamlessly into Nadsat's rhythm.
razdraz	Annoy/Annoyed |  | Origin: Taken from the Russian razdraž, meaning "irritation," this term has a sharp, staccato sound that mirrors the feeling of being annoyed.
razrez	To Rip, Ripping |  | Origin: From the Russian razrez, meaning "cut" or "slash," this term is visceral and evocative.
rook	Hand |  | Origin: From the Russian ruki, meaning "hands" (plural), this term has a straightforward, physical quality. It is also one of the few words Alex explicitly translates for the user in the narrative
rooker	Hand |  | Origin: From the Russian ruki, meaning "hands" (plural), this term has a straightforward, physical quality. It is also one of the few words Alex explicitly translates for the user in the narrative
rot	Mouth |  | Origin: Borrowed from the Russian rot, meaning "mouth," this term is blunt and functional.
rozz	Policeman |  | Origin: A Cockney slang term for "rozzer," meaning "policeman," this word blends British street slang with Nadsat's irreverent attitude toward authority figures.
rozz-shop	Police Station
